"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 10- 11","213.43","215.66","215.74","212.58","130.37M","-1.26%"
"2016- 10- 10","216.16","216.16","216.70","215.99","51.86M","0.52%"
"2016- 10- 07","215.04","216.10","216.30","214.19","89.79M","-0.34%"
"2016- 10- 06","215.78","215.37","216.04","214.74","62.93M","0.07%"
"2016- 10- 05","215.63","215.41","216.13","215.33","72.82M","0.44%"
"2016- 10- 04","214.68","215.91","216.17","213.99","119.95M","-0.51%"
"2016- 10- 03","215.78","215.82","216.04","215.04","83.51M","-0.24%"
"2016- 09- 30","216.30","215.65","217.12","215.36","117.20M","0.75%"
"2016- 09- 29","214.68","216.40","216.87","214.04","128.07M","-0.90%"
"2016- 09- 28","216.64","215.83","216.82","214.71","87.41M","0.50%"
"2016- 09- 27","215.57","214.05","215.68","213.62","78.49M","0.62%"
"2016- 09- 26","214.24","215.02","215.23","214.01","89.83M","-0.81%"
"2016- 09- 23","215.99","216.72","216.88","215.88","73.63M","-0.55%"
"2016- 09- 22","217.18","217.00","217.53","216.71","76.68M","0.63%"
"2016- 09- 21","215.82","214.24","216.03","213.44","110.28M","1.12%"
"2016- 09- 20","213.42","214.41","214.59","213.38","69.67M","0.00%"
"2016- 09- 19","213.41","214.13","214.88","213.03","80.25M","0.02%"
"2016- 09- 16","213.37","213.48","213.69","212.57","155.24M","-0.89%"
"2016- 09- 15","215.28","212.96","215.73","212.75","145.74M","1.00%"
"2016- 09- 14","213.15","213.29","214.70","212.50","134.19M","-0.04%"
"2016- 09- 13","213.23","214.84","215.15","212.50","182.83M","-1.44%"
"2016- 09- 12","216.34","212.39","216.81","212.31","168.11M","1.43%"
"2016- 09- 09","213.28","216.97","217.03","213.25","221.59M","-2.39%"
"2016- 09- 08","218.51","218.62","218.94","218.15","74.10M","-0.23%"
"2016- 09- 07","219.01","218.84","219.22","218.30","76.55M","-0.01%"
"2016- 09- 06","219.03","218.70","219.12","217.86","56.70M","0.30%"
"2016- 09- 02","218.37","218.39","218.87","217.70","79.29M","0.45%"
"2016- 09- 01","217.39","217.37","217.73","216.03","97.84M","0.00%"
