time/fps,train/reward,train/learning_rate,train/policy_loss,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,time/time_elapsed,train/entropy_loss,train/explained_variance,train/std
116,0.6836253,0.0007,-4.432492256164551,3900,19500,3899,1.4518628120422363,166,-13.038179397583008,0.0,1.0316882133483887
115,-4.9991026,0.0007,-51.12297439575195,4000,20000,3999,13.72905158996582,172,-13.046175003051758,0.0,1.0317740440368652
114,0.27901822,0.0007,-14.204299926757812,4100,20500,4099,1.2672237157821655,178,-13.039192199707031,0.0,1.0311331748962402
113,-1.0183626,0.0007,0.10155544430017471,4200,21000,4199,0.7942076921463013,184,-13.0391263961792,7.283687591552734e-05,1.0312827825546265
112,-0.53206915,0.0007,27.0916805267334,4300,21500,4299,5.345271110534668,190,-13.046963691711426,0.0,1.0320783853530884
112,-3.410226,0.0007,-18.526058197021484,4400,22000,4399,2.3655309677124023,195,-13.02055549621582,0.0,1.0294408798217773
111,2.0504227,0.0007,18.239168167114258,4500,22500,4499,2.6194026470184326,202,-13.05308723449707,5.960464477539063e-08,1.0332221984863281
110,0.015024588,0.0007,39.33967971801758,4600,23000,4599,13.098535537719727,208,-13.044187545776367,0.0,1.0321249961853027
109,-1.8253623,0.0007,-49.60195541381836,4700,23500,4699,16.88741683959961,214,-13.04356861114502,0.0,1.0318996906280518
109,-0.80041856,0.0007,-6.828980922698975,4800,24000,4799,0.7820388674736023,219,-13.031564712524414,0.06743967533111572,1.0306202173233032
108,0.004886288,0.0007,20.850032806396484,4900,24500,4899,2.921114683151245,225,-13.02350902557373,0.0,1.0299376249313354
107,0.90436804,0.0007,-62.13751983642578,5000,25000,4999,18.588659286499023,231,-13.042226791381836,0.0,1.0314240455627441
107,-0.5993655,0.0007,33.0018310546875,5100,25500,5099,7.356889247894287,237,-13.083215713500977,5.960464477539063e-08,1.0366665124893188
106,-0.32199234,0.0007,7.80825662612915,5200,26000,5199,0.7804771661758423,243,-13.083775520324707,0.0,1.0369842052459717
106,-3.543462,0.0007,31.39358901977539,5300,26500,5299,6.118284225463867,249,-13.051977157592773,0.01512986421585083,1.0335090160369873
105,-0.99766046,0.0007,-28.62432861328125,5400,27000,5399,5.219947338104248,255,-13.053112983703613,1.7881393432617188e-07,1.0337724685668945
104,-0.08602458,0.0007,29.117156982421875,5500,27500,5499,5.121419906616211,262,-13.04633903503418,1.1920928955078125e-07,1.0328367948532104
104,0.47717363,0.0007,-3.1609585285186768,5600,28000,5599,3.7450013160705566,268,-13.044866561889648,1.1920928955078125e-07,1.0327677726745605
103,-0.053189386,0.0007,-9.787992477416992,5700,28500,5699,3.129582643508911,274,-13.063023567199707,0.0,1.0352147817611694
103,0.10203727,0.0007,13.973653793334961,5800,29000,5799,2.099205732345581,280,-13.073514938354492,0.0,1.0363231897354126
102,-2.2054186,0.0007,-72.31912231445312,5900,29500,5899,26.01352310180664,286,-13.092948913574219,0.0,1.0380103588104248
102,0.7669282,0.0007,-42.473636627197266,6000,30000,5999,10.614363670349121,292,-13.106762886047363,0.08426421880722046,1.0397472381591797
102,0.89525825,0.0007,6.519802093505859,6100,30500,6099,1.0377044677734375,298,-13.102731704711914,-11.968724250793457,1.0395523309707642
101,-2.49619,0.0007,-46.45565414428711,6200,31000,6199,23.19765853881836,304,-13.118329048156738,0.0,1.0420489311218262
101,-0.09906281,0.0007,0.31928691267967224,6300,31500,6299,0.2579643130302429,310,-13.114474296569824,0.0,1.0412523746490479
101,1.3371122,0.0007,23.165546417236328,6400,32000,6399,5.363911151885986,316,-13.126554489135742,0.0,1.042544960975647
100,-2.2499008,0.0007,48.17460250854492,6500,32500,6499,15.338064193725586,322,-13.130483627319336,1.1920928955078125e-07,1.0435971021652222
100,-1.5615673,0.0007,-38.830909729003906,6600,33000,6599,7.06771183013916,328,-13.158116340637207,-1.1920928955078125e-07,1.0460305213928223
100,1.043776,0.0007,15.493847846984863,6700,33500,6699,1.5581748485565186,334,-13.170425415039062,1.1920928955078125e-07,1.0477091073989868
99,-0.56309974,0.0007,-5.10564661026001,6800,34000,6799,1.4823707342147827,340,-13.209506034851074,0.0,1.0529930591583252
99,0.58697486,0.0007,-17.238178253173828,6900,34500,6899,1.9481111764907837,346,-13.243728637695312,5.960464477539063e-08,1.056236743927002
99,1.8569759,0.0007,29.81109619140625,7000,35000,6999,6.390613079071045,352,-13.222780227661133,0.0,1.0538733005523682
98,0.038237683,0.0007,-0.48795852065086365,7100,35500,7099,0.0037915923167020082,358,-13.218694686889648,0.0,1.0540319681167603
98,-0.20377043,0.0007,0.2727377414703369,7200,36000,7199,0.07343529164791107,364,-13.2244234085083,-1.1920928955078125e-07,1.054654598236084
98,0.30161422,0.0007,2.377349853515625,7300,36500,7299,0.21532639861106873,370,-13.26866340637207,-1.1920928955078125e-07,1.0591059923171997
98,0.46883056,0.0007,-21.582061767578125,7400,37000,7399,6.180816173553467,376,-13.249768257141113,-1.1920928955078125e-07,1.0575453042984009
98,0.8364977,0.0007,4.440235614776611,7500,37500,7499,0.3372511565685272,382,-13.253988265991211,-1.1920928955078125e-07,1.0581756830215454
97,-0.8389185,0.0007,4.767373085021973,7600,38000,7599,0.9527148008346558,389,-13.261545181274414,0.0,1.0587035417556763
97,0.016549753,0.0007,5.368963718414307,7700,38500,7699,0.22524753212928772,394,-13.241520881652832,0.0,1.0559160709381104
97,-0.16857423,0.0007,6.507119178771973,7800,39000,7799,0.5525869131088257,400,-13.223516464233398,-0.008448362350463867,1.0545023679733276
97,0.4724546,0.0007,-12.70026683807373,7900,39500,7899,1.083967685699463,406,-13.26902961730957,0.0,1.0593279600143433
96,0.28960603,0.0007,18.031230926513672,8000,40000,7999,2.46276593208313,412,-13.286659240722656,0.0,1.061806559562683
96,1.8700248,0.0007,-55.5960693359375,8100,40500,8099,20.538049697875977,418,-13.293569564819336,0.0,1.0620112419128418
96,-6.820397,0.0007,-303.60235595703125,8200,41000,8199,569.4652709960938,424,-13.29504108428955,5.960464477539063e-08,1.0627166032791138
96,-1.2989957,0.0007,-22.87253189086914,8300,41500,8299,4.3426713943481445,430,-13.31749153137207,-1.1920928955078125e-07,1.0651205778121948
96,0.14433649,0.0007,-18.265239715576172,8400,42000,8399,2.1672027111053467,436,-13.336080551147461,0.42052608728408813,1.0674704313278198
96,1.3504122,0.0007,-13.302038192749023,8500,42500,8499,1.1501755714416504,442,-13.351560592651367,0.0,1.0696148872375488
96,1.147036,0.0007,2.4666836261749268,8600,43000,8599,0.6264289021492004,447,-13.407763481140137,1.1920928955078125e-07,1.0764918327331543
95,1.912543,0.0007,-45.22827911376953,8700,43500,8699,11.465810775756836,453,-13.387438774108887,0.0,1.073518991470337
95,-4.0279884,0.0007,100.88595581054688,8800,44000,8799,60.64446258544922,459,-13.373286247253418,0.0,1.0724310874938965
95,2.124177,0.0007,25.955184936523438,8900,44500,8899,4.2429704666137695,465,-13.368593215942383,0.0,1.0716781616210938
95,-0.037522078,0.0007,12.571691513061523,9000,45000,8999,1.4979751110076904,471,-13.38337516784668,-1.1920928955078125e-07,1.0729659795761108
95,-0.13044102,0.0007,-5.425620079040527,9100,45500,9099,0.37349367141723633,476,-13.402946472167969,-1.1920928955078125e-07,1.0756008625030518
95,0.36889336,0.0007,29.220773696899414,9200,46000,9199,4.727866172790527,482,-13.382769584655762,0.0,1.0736336708068848
95,0.6297329,0.0007,29.55718994140625,9300,46500,9299,4.672025203704834,488,-13.434382438659668,0.0,1.079706072807312
95,1.3488287,0.0007,25.683008193969727,9400,47000,9399,16.04338264465332,494,-13.448083877563477,0.0,1.0807840824127197
94,0.48154977,0.0007,12.800600051879883,9500,47500,9499,1.1146676540374756,500,-13.441454887390137,0.0,1.0805468559265137
94,-1.3015431,0.0007,-2.9822325706481934,9600,48000,9599,0.683931827545166,505,-13.468118667602539,-1.1920928955078125e-07,1.0839052200317383
94,-1.5564239,0.0007,2.1661956310272217,9700,48500,9699,0.35539841651916504,511,-13.496500015258789,0.0,1.0877878665924072
94,-0.68563914,0.0007,-92.19572448730469,9800,49000,9799,55.649497985839844,516,-13.473321914672852,0.0,1.0853617191314697
94,1.2928721,0.0007,-17.219867706298828,9900,49500,9899,2.094999313354492,522,-13.451936721801758,-1.1920928955078125e-07,1.0820924043655396
94,-6.076815,0.0007,19.422412872314453,10000,50000,9999,4.316535949707031,528,-13.401542663574219,-1.1920928955078125e-07,1.0766021013259888
