time/fps,train/reward,train/learning_rate,train/policy_loss,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,time/time_elapsed,train/entropy_loss,train/explained_variance,train/std
218,0.18696393,0.0007,-17.373741149902344,100,500,99,2.9051647186279297,2,-12.813525199890137,-0.10020208358764648,1.00504732131958
218,0.98156863,0.0007,-17.72793197631836,200,1000,199,6.830195426940918,4,-12.8353853225708,-0.007914423942565918,1.0073603391647339
215,-2.79789,0.0007,2.038172483444214,300,1500,299,4.136285305023193,6,-12.814167976379395,-1.1920928955078125e-07,1.0049834251403809
215,1.0015975,0.0007,-40.61079788208008,400,2000,399,12.387303352355957,9,-12.829191207885742,-1.1920928955078125e-07,1.0067505836486816
216,-2.5697267,0.0007,-17.801883697509766,500,2500,499,6.18686056137085,11,-12.818288803100586,1.1920928955078125e-07,1.0056120157241821
216,-0.035171647,0.0007,2.6494009494781494,600,3000,599,0.06408001482486725,13,-12.819247245788574,-1.1920928955078125e-07,1.0053811073303223
213,-0.6940121,0.0007,-3.8940746784210205,700,3500,699,0.23110468685626984,16,-12.829507827758789,0.0,1.0066999197006226
206,0.020865474,0.0007,6.679209232330322,800,4000,799,1.8235969543457031,19,-12.81275749206543,-0.10987043380737305,1.0045841932296753
205,3.1483507,0.0007,4.109565734863281,900,4500,899,2.9465789794921875,21,-12.786563873291016,-0.0016077756881713867,1.001625895500183
199,3.5545063,0.0007,-95.71666717529297,1000,5000,999,111.36299133300781,25,-12.786316871643066,-0.004678249359130859,1.0019844770431519
177,1.795192,0.0007,49.9508056640625,1100,5500,1099,26.92941665649414,30,-12.732458114624023,0.0,0.996099591255188
162,-0.92562264,0.0007,-12.351283073425293,1200,6000,1199,1.2969567775726318,36,-12.75473690032959,0.0,0.9984869360923767
150,0.5440712,0.0007,-12.307802200317383,1300,6500,1299,1.2113558053970337,43,-12.762845039367676,1.1920928955078125e-07,0.9992745518684387
141,1.0797014,0.0007,38.741031646728516,1400,7000,1399,10.952058792114258,49,-12.765059471130371,0.0,0.9998354315757751
135,0.7356229,0.0007,22.72473907470703,1500,7500,1499,4.841245174407959,55,-12.784738540649414,0.0,1.0021576881408691
136,0.68614113,0.0007,3.432866334915161,1600,8000,1599,6.569504737854004,58,-12.767321586608887,0.0,1.0001481771469116
139,8.262098,0.0007,142.5984344482422,1700,8500,1699,139.2758026123047,60,-12.749253273010254,-1.1920928955078125e-07,0.9980723857879639
142,0.74361414,0.0007,-29.198837280273438,1800,9000,1799,6.985220909118652,63,-12.779234886169434,0.0,1.0013976097106934
144,-0.31827116,0.0007,-52.917930603027344,1900,9500,1899,18.71599006652832,65,-12.790998458862305,-0.08917295932769775,1.0026077032089233
147,-0.17812298,0.0007,8.633936882019043,2000,10000,1999,1.2543890476226807,67,-12.772846221923828,0.0,1.0005372762680054
149,2.5986893,0.0007,-19.66373062133789,2100,10500,2099,5.382146835327148,70,-12.759804725646973,-0.03542435169219971,0.9990875720977783
151,-3.0182564,0.0007,15.952070236206055,2200,11000,2199,3.696868419647217,72,-12.784513473510742,1.1920928955078125e-07,1.0020356178283691
153,1.777098,0.0007,171.4219207763672,2300,11500,2299,191.9419708251953,74,-12.811569213867188,1.7881393432617188e-07,1.005162000656128
155,0.379446,0.0007,23.040437698364258,2400,12000,2399,3.7971205711364746,77,-12.827486038208008,0.15380316972732544,1.0068329572677612
156,0.63705474,0.0007,-4.081081867218018,2500,12500,2499,0.4085516333580017,79,-12.86046028137207,0.363760769367218,1.010694146156311
155,-0.09062082,0.0007,15.284353256225586,2600,13000,2599,3.735863208770752,83,-12.894744873046875,0.0,1.0146764516830444
150,-0.943349,0.0007,-6.514943599700928,2700,13500,2699,1.0175843238830566,89,-12.910497665405273,1.1920928955078125e-07,1.0171438455581665
145,1.6638864,0.0007,-48.78152847290039,2800,14000,2799,11.587968826293945,96,-12.895524978637695,0.0,1.014306902885437
141,0.12545899,0.0007,63.87403106689453,2900,14500,2899,34.70508575439453,102,-12.889944076538086,0.11080652475357056,1.0140132904052734
138,-0.8530352,0.0007,6.735736846923828,3000,15000,2999,0.3347095251083374,108,-12.90864372253418,0.09913980960845947,1.0165246725082397
135,0.08713244,0.0007,-16.984619140625,3100,15500,3099,4.174461841583252,114,-12.920137405395508,0.24099862575531006,1.0180021524429321
133,1.759628,0.0007,39.702186584472656,3200,16000,3199,13.604635238647461,120,-12.959190368652344,0.0,1.0220540761947632
130,0.8087787,0.0007,18.332183837890625,3300,16500,3299,2.4986748695373535,126,-12.958719253540039,0.0,1.0221123695373535
124,4.053278,0.0007,-73.62589263916016,3400,17000,3399,39.05698776245117,136,-12.975692749023438,0.0,1.0237699747085571
122,0.5318692,0.0007,84.63516235351562,3500,17500,3499,65.1740493774414,142,-12.978734016418457,0.0,1.023752212524414
120,0.37582067,0.0007,0.2601015567779541,3600,18000,3599,0.0897180587053299,149,-12.980783462524414,0.06354397535324097,1.0238672494888306
119,-0.61136127,0.0007,7.87286376953125,3700,18500,3699,1.3589919805526733,155,-13.00141429901123,0.0,1.027001142501831
117,-0.62836516,0.0007,39.0352668762207,3800,19000,3799,13.688633918762207,161,-13.027236938476562,0.0,1.029714584350586
